dec,med_vpd,med_up
0,0.7464459379515862,0.0
1,0.7890199545796199,1.0
2,0.8805838753835982,3.0
3,1.0170985561278063,4.0
4,1.159195641178871,6.0
5,1.6198642760069957,8.0
6,1.4019720704352596,10.0
7,1.5197181568450948,14.0
8,1.4018682338401365,21.0
9,0.7826888220975836,42.0
